,number_of_times_used_for_training
0,36.0
1,33.0
2,37.0
3,34.0
4,32.0
5,40.0
6,34.0
7,32.0
8,34.0
9,37.0
10,37.0
11,39.0
12,33.0
13,36.0
14,39.0
15,33.0
16,35.0
17,39.0
18,34.0
19,31.0
20,38.0
21,37.0
22,28.0
23,37.0
24,39.0
25,32.0
26,36.0
27,37.0
28,31.0
29,39.0
30,35.0
31,27.0
32,34.0
33,36.0
34,38.0
35,35.0
36,35.0
37,36.0
38,41.0
39,40.0
40,35.0
41,38.0
42,38.0
43,38.0
44,33.0
45,31.0
46,39.0
47,39.0
48,39.0
49,32.0
50,31.0
51,38.0
52,31.0
53,35.0
54,38.0
55,35.0
56,35.0
57,28.0
58,30.0
59,31.0
60,34.0
61,31.0
62,34.0
63,34.0
64,36.0
65,30.0
66,32.0
67,36.0
68,30.0
69,37.0
70,36.0
71,37.0
72,36.0
73,37.0
74,30.0
75,33.0
76,37.0
77,36.0
78,38.0
79,29.0
80,37.0
81,31.0
82,36.0
83,33.0
84,36.0
85,38.0
86,37.0
87,36.0
88,33.0
89,35.0
90,38.0
91,33.0
92,32.0
93,36.0
94,38.0
95,38.0
96,39.0
97,42.0
98,33.0
99,34.0
100,37.0
101,39.0
102,38.0
103,37.0
104,30.0
105,37.0
106,35.0
107,29.0
108,37.0
109,37.0
110,32.0
111,40.0
112,38.0
113,39.0
114,35.0
115,35.0
116,38.0
117,35.0
118,35.0
119,36.0
120,34.0
121,34.0
122,29.0
123,33.0
124,36.0
125,36.0
126,34.0
127,40.0
128,35.0
129,28.0
130,36.0
131,30.0
132,39.0
133,31.0
134,34.0
135,35.0
136,34.0
137,35.0
138,34.0
139,34.0
140,35.0
141,34.0
142,31.0
143,32.0
144,40.0
145,35.0
146,36.0
147,30.0
148,35.0
149,34.0
